Número,Processo,NI Beneficiário,Origem,Situação,Valor,Tipo_NI_Ben,Tipo_NI_Int,NIs_iguais,Ano,Tempo_decorrido,Número
1,3596,929,Fazendário,CREDITADA,1532.37,PF,PF,S,2019,1,
2,16280,2355,Fazendário,CREDITADA,14151.52,PF,PF,S,2018,2,
3,31411,944,Fazendário,CREDITADA,11628.96,PF,PF,N,2020,0,
4,41896,944,Fazendário,CREDITADA,9363.63,PF,PF,N,2020,0,
5,42972,1359,Fazendário,CREDITADA,647.74,PF,PF,S,2018,2,
6,817,3615,Fazendário,CREDITADA,10909.8,PF,PF,S,2018,2,
7,33924,2806,Fazendário,CREDITADA,32868.42,PF,PF,S,2019,1,
8,14040,3664,Fazendário,CREDITADA,5366.88,PF,PF,S,2018,2,
9,11846,524,Fazendário,CREDITADA,4760.59,PF,PF,S,2018,2,
10,42073,3017,Fazendário,CREDITADA,1451.74,PF,PF,S,2020,0,
11,27455,3017,Fazendário,CREDITADA,776.55,PF,PF,S,2020,0,
12,26877,2048,Fazendário,CREDITADA,12258.06,PF,PF,S,2019,1,
13,2130,3656,Fazendário,CREDITADA,877.26,PF,PF,S,2020,0,
14,4461,3656,Fazendário,CREDITADA,900.82,PF,PF,S,2020,0,
15,13631,2064,Fazendário,CREDITADA,26176.51,PF,PF,N,2018,2,
16,13631,2664,Fazendário,CREDITADA,26168.66,PF,PF,N,2018,2,
17,13631,3612,Fazendário,CREDITADA,8722.89,PF,PF,N,2018,2,
18,13631,3839,Fazendário,CREDITADA,8722.89,PF,PF,N,2018,2,
19,7623,3568,Fazendário,CREDITADA,24186.84,PF,PF,S,2020,0,
20,30450,1117,Fazendário,CREDITADA,30260.91,PF,PF,S,2020,0,
21,42773,1117,Fazendário,CREDITADA,38984.21,PF,PF,S,2020,0,
22,10117,1117,Fazendário,CREDITADA,37279.89,PF,PF,S,2020,0,
23,19891,1117,Fazendário,CREDITADA,31557.11,PF,PF,S,2020,0,
24,37268,3277,Fazendário,CREDITADA,2160.22,PF,PF,N,2018,2,
25,46840,3537,Fazendário,CREDITADA,537.18,PF,PF,S,2020,0,
26,32553,202,Fazendário,CREDITADA,761.49,PF,PF,S,2020,0,
27,28320,2786,Fazendário,CREDITADA,1205.11,PF,PF,N,2018,2,
28,17270,3524,Fazendário,CREDITADA,3106.43,PF,PF,N,2018,2,
29,28029,2807,Fazendário,CREDITADA,4322.12,PF,PF,N,2018,2,
30,1185,602,Fazendário,CREDITADA,1768.62,PF,PF,S,2018,2,
31,33142,95,Fazendário,CREDITADA,3612.11,PF,PF,N,2020,0,
32,18233,95,Fazendário,CREDITADA,2431.74,PF,PF,N,2018,2,
33,18017,3519,Fazendário,CREDITADA,506.46,PF,PF,N,2011,9,
34,4516,2689,Fazendário,CREDITADA,55.24,PF,PF,S,2014,6,
35,2619,3660,Fazendário,CREDITADA,8188.71,PF,PF,S,2012,8,
36,38700,466,Fazendário,CREDITADA,7685.34,PF,PF,N,2018,2,
37,38700,3244,Fazendário,CREDITADA,1921.91,PF,PF,N,2018,2,
38,38700,1804,Fazendário,CREDITADA,1921.91,PF,PF,N,2018,2,
39,5745,1135,Fazendário,CREDITADA,1041.96,PF,PF,N,2018,2,
40,9194,1413,Fazendário,CREDITADA,2868.26,PF,PF,N,2020,0,
41,9194,3801,Fazendário,CREDITADA,1434.13,PF,PF,N,2020,0,
42,9194,1131,Fazendário,CREDITADA,1434.13,PF,PF,N,2020,0,
43,10182,2820,Fazendário,CREDITADA,1455.48,PF,PF,N,2018,2,
44,18722,2351,Fazendário,CREDITADA,2999.33,PF,PF,S,2018,2,
45,19021,2351,Fazendário,CREDITADA,5257.63,PF,PF,S,2018,2,
46,42975,2351,Fazendário,CREDITADA,4729.1,PF,PF,S,2018,2,
47,18030,2351,Fazendário,CREDITADA,4349.8,PF,PF,S,2018,2,
48,47521,172,Fazendário,CREDITADA,2409.57,PF,PF,N,2018,2,
49,47521,2055,Fazendário,CREDITADA,2409.57,PF,PF,N,2018,2,
50,4580,2526,Fazendário,CREDITADA,206.71,PF,PF,S,2018,2,
51,11870,2814,Fazendário,CREDITADA,907.08,PF,PF,N,2018,2,
52,11870,59,Fazendário,CREDITADA,907.08,PF,PF,N,2018,2,
53,11870,447,Fazendário,CREDITADA,907.35,PF,PF,N,2018,2,
54,36843,3494,Fazendário,CREDITADA,7718.44,PF,PF,S,2020,0,
55,9418,26,Fazendário,CREDITADA,608.51,PF,PF,N,2012,8,
56,36564,26,Fazendário,CREDITADA,99.58,PF,PF,N,2012,8,
57,18907,3295,Fazendário,CREDITADA,407.74,PF,PF,S,2020,0,
58,10901,1459,Fazendário,CREDITADA,9978.58,PF,PF,N,2020,0,
59,1917,520,Fazendário,CREDITADA,1481.81,PF,PF,S,2019,1,
60,33109,2065,Fazendário,CREDITADA,3683.1,PF,PF,S,2020,0,
61,26442,636,Fazendário,CREDITADA,7978.89,PF,PF,S,2020,0,
62,12510,3102,Fazendário,CREDITADA,3412.85,PF,PF,S,2019,1,
63,18901,2289,Fazendário,CREDITADA,12312.07,PF,PF,S,2018,2,
64,42580,363,Fazendário,CREDITADA,1807.22,PF,PF,S,2012,8,
65,6092,39,Fazendário,CREDITADA,1105.24,PF,PF,S,2012,8,
66,19245,3720,Fazendário,CREDITADA,405.05,PF,PF,S,2012,8,
67,41881,2961,Fazendário,CREDITADA,1684.64,PF,PF,S,2020,0,
68,5044,2121,Fazendário,CREDITADA,307.45,PF,PF,S,2012,8,
69,5625,2121,Fazendário,CREDITADA,415.34,PF,PF,S,2012,8,
70,22494,2342,Fazendário,CREDITADA,98.83,PF,PF,S,2016,4,
71,5645,2342,Fazendário,CREDITADA,95.48,PF,PF,S,2016,4,
72,15286,2342,Fazendário,CREDITADA,98.03,PF,PF,S,2016,4,
73,17170,2342,Fazendário,CREDITADA,97.84,PF,PF,S,2016,4,
74,15053,2342,Fazendário,CREDITADA,97.39,PF,PF,S,2016,4,
75,33482,2342,Fazendário,CREDITADA,98.47,PF,PF,S,2016,4,
76,9207,2342,Fazendário,CREDITADA,96.75,PF,PF,S,2016,4,
77,639,2342,Fazendário,CREDITADA,96.36,PF,PF,S,2016,4,
78,34651,2342,Fazendário,CREDITADA,98.14,PF,PF,S,2016,4,
79,20139,2342,Fazendário,CREDITADA,96.24,PF,PF,S,2016,4,
80,30719,107,Fazendário,CREDITADA,181.45,PF,PF,N,2020,0,
81,30719,327,Fazendário,CREDITADA,181.45,PF,PF,N,2020,0,
82,30719,558,Fazendário,CREDITADA,181.45,PF,PF,N,2020,0,
83,30719,3599,Fazendário,CREDITADA,181.45,PF,PF,N,2020,0,
84,18450,114,Fazendário,CREDITADA,42060.94,PF,PF,S,2020,0,
85,8489,482,Fazendário,CREDITADA,546.25,PF,PF,S,2012,8,
86,5280,987,Fazendário,CREDITADA,1343.65,PF,PF,N,2018,2,
87,5280,3024,Fazendário,CREDITADA,1343.65,PF,PF,N,2018,2,
88,44561,3432,Fazendário,CREDITADA,3953.4,PF,PF,N,2018,2,
89,44561,2043,Fazendário,CREDITADA,1318.06,PF,PF,N,2018,2,
90,44561,2706,Fazendário,CREDITADA,1318.06,PF,PF,N,2018,2,
91,44561,3681,Fazendário,CREDITADA,1317.27,PF,PF,N,2018,2,
92,45535,3783,Fazendário,CREDITADA,1046.64,PF,PF,S,2020,0,
93,20300,1809,Fazendário,CREDITADA,1880.51,PF,PF,S,2020,0,
94,25824,1356,Fazendário,CREDITADA,1347.5,PF,PF,S,2020,0,
95,45914,3071,Fazendário,CREDITADA,3763.45,PF,PF,S,2019,1,
96,30959,148,Fazendário,CREDITADA,107.11,PF,PF,S,2020,0,
97,1933,148,Fazendário,CREDITADA,377.83,PF,PF,S,2020,0,
98,16952,2665,Fazendário,CREDITADA,644.26,PF,PF,N,2018,2,
99,47442,2665,Fazendário,CREDITADA,468.64,PF,PF,N,2019,1,
100,33971,275,Fazendário,CREDITADA,1414.61,PF,PF,S,2020,0,
101,25833,275,Fazendário,CREDITADA,1309.53,PF,PF,S,2020,0,
102,11691,275,Fazendário,CREDITADA,1561.52,PF,PF,S,2020,0,
103,29375,275,Fazendário,CREDITADA,1612.05,PF,PF,S,2020,0,
104,20931,1948,Fazendário,CREDITADA,1184.71,PF,PF,S,2020,0,
105,23111,1948,Fazendário,CREDITADA,519.74,PF,PF,S,2020,0,
106,42899,82,Fazendário,CREDITADA,24298.45,PF,PF,S,2012,8,
