Nº Processo,Natureza do Processo,Forma de Cadastramento,Crédito
40836,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
15226,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
41482,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
13240,DIGITAL,Automático,Restituição de Pagamento Indevido ou a Maior
25248,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
9540,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
48186,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
47869,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
23054,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
43729,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
32,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
30959,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
1933,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
44616,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
3685,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
44208,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
33439,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
8179,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
22980,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
20827,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
39682,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
22261,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
24016,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
10672,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
40765,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
41029,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
11582,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
23592,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
6400,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
23408,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
15836,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
8037,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
14171,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
25741,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
33679,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
35462,ELETRÔNICO,Automático,PERES - Restituição de IRPF Não Resgatada no Banco
7839,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
8966,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
10610,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
47358,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
4120,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
7120,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
24791,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
22272,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
22290,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
26428,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
19809,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
43192,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
17433,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
39582,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
23733,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
