Número,NI Beneficiário,Origem,Situação,Valor,NIs_iguais,Tempo_decorrido,Natureza do Processo,Forma de Cadastramento,Crédito,Situação Cadastral - Código,País - Código,Estrangeiro,Nacionalidade - Código,Sexo - Código,UF,Município - Código,Telefone - DDD,Idade,Tempo de Óbito
1,929,Fazendário,CREDITADA,1532.37,S,1,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,RJ,5803,21,80,0
2,2355,Fazendário,CREDITADA,14151.52,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4895,31,82,0
3,944,Fazendário,CREDITADA,11628.96,N,0,DIGITAL,Manual,Restituição de Pagamento Indevido ou a Maior,10,105,Não,105,F,RJ,6001,21,72,0
4,944,Fazendário,CREDITADA,9363.63,N,0,DIGITAL,Manual,Restituição de Pagamento Indevido ou a Maior,10,105,Não,105,F,RJ,6001,21,72,0
5,1359,Fazendário,CREDITADA,647.74,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4877,32,88,0
6,3615,Fazendário,CREDITADA,10909.8,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4733,32,81,0
7,2806,Fazendário,CREDITADA,32868.42,S,1,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,RJ,6001,21,85,0
8,3664,Fazendário,CREDITADA,5366.88,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4123,31,86,0
9,524,Fazendário,CREDITADA,4760.59,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,CE,1389,85,87,0
10,3017,Fazendário,CREDITADA,1451.74,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,99,105,Não,105,M,SP,7107,11,86,1
11,3017,Fazendário,CREDITADA,776.55,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,99,105,Não,105,M,SP,7107,11,86,1
12,2048,Fazendário,CREDITADA,12258.06,S,1,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,RJ,6001,21,89,0
13,3656,Fazendário,CREDITADA,877.26,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,6687,16,82,0
14,3656,Fazendário,CREDITADA,900.82,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,6687,16,82,0
15,2064,Fazendário,CREDITADA,26176.51,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,73,0
16,2664,Fazendário,CREDITADA,26168.66,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,PR,7535,41,73,0
17,3612,Fazendário,CREDITADA,8722.89,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,49,0
18,3839,Fazendário,CREDITADA,8722.89,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,44,0
19,3568,Fazendário,CREDITADA,24186.84,S,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,99,105,Não,105,F,DF,9701,61,81,1
20,1117,Fazendário,CREDITADA,30260.91,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,RJ,6001,21,87,0
21,1117,Fazendário,CREDITADA,38984.21,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,RJ,6001,21,87,0
22,1117,Fazendário,CREDITADA,37279.89,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,RJ,6001,21,87,0
23,1117,Fazendário,CREDITADA,31557.11,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,RJ,6001,21,87,0
24,3277,Fazendário,CREDITADA,2160.22,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,PR,7667,43,75,0
25,3537,Fazendário,CREDITADA,537.18,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PR,7535,41,82,0
26,202,Fazendário,CREDITADA,761.49,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SC,8327,48,80,0
27,2786,Fazendário,CREDITADA,1205.11,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,PR,7535,41,59,0
28,3524,Fazendário,CREDITADA,3106.43,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,10,105,Não,105,F,PR,7535,41,70,0
29,2807,Fazendário,CREDITADA,4322.12,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,99,105,Não,105,F,PR,7535,41,87,2
30,602,Fazendário,CREDITADA,1768.62,S,2,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,MG,4123,31,84,0
31,95,Fazendário,CREDITADA,3612.11,N,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,81,0
32,95,Fazendário,CREDITADA,2431.74,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,81,0
33,3519,Fazendário,CREDITADA,506.46,N,9,DIGITAL,Automático,PERES - Restituição de IRPF Não Resgatada no Banco,0,105,Não,105,F,SP,7107,11,76,0
34,2689,Fazendário,CREDITADA,55.24,S,6,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,BA,3849,71,72,0
35,3660,Fazendário,CREDITADA,8188.71,S,8,DIGITAL,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,BA,3849,71,79,0
36,466,Fazendário,CREDITADA,7685.34,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,99,105,Não,105,M,PR,7535,41,89,1
37,3244,Fazendário,CREDITADA,1921.91,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,PR,7535,41,53,0
38,1804,Fazendário,CREDITADA,1921.91,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,PR,7535,41,50,0
39,1135,Fazendário,CREDITADA,1041.96,N,2,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,66,0
40,1413,Fazendário,CREDITADA,2868.26,N,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,73,0
41,3801,Fazendário,CREDITADA,1434.13,N,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,53,0
42,1131,Fazendário,CREDITADA,1434.13,N,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,F,PR,7535,41,51,0
